id,gid,x,y,v_x,v_y,radius,time
0,0,10.115001,0.334125,-0.510987,-0.209794,0.200000,0.100000
1,0,12.492647,0.589516,-0.557527,-0.020109,0.200000,0.100000
2,0,7.336290,-0.139396,0.142501,-0.174148,0.200000,0.100000
3,0,6.772637,-0.835776,-0.319030,0.046019,0.200000,0.100000
4,0,8.806821,0.700481,-0.282285,0.004693,0.200000,0.100000
5,0,5.223664,0.517563,0.000036,-0.170402,0.200000,0.100000
6,0,13.678427,-1.050247,-0.170726,-0.004173,0.200000,0.100000
7,0,10.829436,-0.165940,-0.305636,0.039047,0.200000,0.100000
8,0,13.250577,-0.538190,-0.623227,-0.007495,0.200000,0.100000
9,0,8.028780,-0.206026,-0.007703,0.145985,0.200000,0.100000
10,0,6.852685,0.230481,-0.106155,0.109430,0.200000,0.100000
11,0,14.748401,-0.705972,-0.124986,-0.147236,0.200000,0.100000
12,0,13.389516,0.583539,-0.203842,-0.119649,0.200000,0.100000
13,0,8.506421,0.136084,-0.198792,0.042984,0.200000,0.100000
14,0,6.735530,-0.411441,-0.768103,0.034597,0.200000,0.100000
15,0,13.585862,1.025933,-0.262376,0.050925,0.200000,0.100000
16,0,6.360048,0.050174,-0.856117,0.001866,0.200000,0.100000
17,0,6.680254,0.876256,-0.991659,-0.066412,0.200000,0.100000
18,0,9.416525,-0.434469,-0.819054,0.031717,0.200000,0.100000
19,0,7.312870,-0.863307,-0.194199,-0.239166,0.200000,0.100000
20,1,7.284031,7.701243,-0.160394,-0.121166,0.200000,0.100000
21,1,8.341122,-4.296146,-0.249775,-1.009962,0.200000,0.100000
22,1,7.119668,2.277728,0.080785,-0.583224,0.200000,0.100000
23,1,9.090363,-3.082568,0.020326,-0.058778,0.200000,0.100000
24,1,5.320190,5.387313,0.100500,-1.026574,0.200000,0.100000
25,1,8.403343,-2.070469,-0.095271,-0.412895,0.200000,0.100000
26,1,6.819602,6.511769,-0.023684,-0.565410,0.200000,0.100000
27,1,5.185827,1.208438,0.188070,-0.147920,0.200000,0.100000
28,1,4.801552,2.999959,-0.079981,-0.228109,0.200000,0.100000
29,1,4.811425,0.664266,-0.010454,-0.447877,0.200000,0.100000
30,1,7.595557,3.352208,-0.075732,-0.946817,0.200000,0.100000
31,1,7.274088,-4.361679,-0.017224,-0.167287,0.200000,0.100000
32,1,5.650471,2.196418,0.057407,-0.432420,0.200000,0.100000
33,1,7.978200,5.317576,0.008797,-0.465342,0.200000,0.100000
34,1,4.919868,6.614428,-0.072517,-0.218716,0.200000,0.100000
35,1,9.173472,3.687286,-0.108578,-0.973944,0.200000,0.100000
36,1,6.197328,4.178299,0.008381,-0.300208,0.200000,0.100000
37,1,8.540093,3.748550,-0.126272,-1.140803,0.200000,0.100000
38,1,9.131592,4.634161,-0.097182,0.023011,0.200000,0.100000
39,1,6.797144,8.867915,-0.017656,-0.005848,0.200000,0.100000
0,0,10.033545,0.298425,-0.814558,-0.356999,0.200000,0.200000
1,0,12.371975,0.589616,-1.206725,0.000995,0.200000,0.200000
2,0,7.287163,-0.143963,-0.491268,-0.045674,0.200000,0.200000
3,0,6.717578,-0.830636,-0.550594,0.051405,0.200000,0.200000
4,0,8.683801,0.694109,-1.230205,-0.063727,0.200000,0.200000
5,0,5.197501,0.434970,-0.261631,-0.825924,0.200000,0.200000
6,0,13.626117,-1.044900,-0.523105,0.053468,0.200000,0.200000
7,0,10.777964,-0.171664,-0.514720,-0.057238,0.200000,0.200000
8,0,13.176380,-0.540681,-0.741976,-0.024906,0.200000,0.200000
9,0,8.010030,-0.176299,-0.187496,0.297269,0.200000,0.200000
10,0,6.804564,0.235611,-0.481208,0.051305,0.200000,0.200000
11,0,14.702508,-0.703581,-0.458937,0.023904,0.200000,0.200000
12,0,13.347923,0.572780,-0.415929,-0.107593,0.200000,0.200000
13,0,8.450415,0.158791,-0.560062,0.227068,0.200000,0.200000
14,0,6.655148,-0.412746,-0.803819,-0.013051,0.200000,0.200000
15,0,13.504918,1.026203,-0.809449,0.002705,0.200000,0.200000
16,0,6.251628,0.055973,-1.084200,0.057998,0.200000,0.200000
17,0,6.578703,0.869896,-1.015516,-0.063595,0.200000,0.200000
18,0,9.303134,-0.435325,-1.133902,-0.008557,0.200000,0.200000
19,0,7.271790,-0.873567,-0.410800,-0.102607,0.200000,0.200000
20,1,7.259500,7.627193,-0.245306,-0.740503,0.200000,0.200000
21,1,8.307013,-4.417973,-0.341097,-1.218271,0.200000,0.200000
22,1,7.125326,2.175014,0.056575,-1.027133,0.200000,0.200000
23,1,9.064463,-3.165304,-0.258999,-0.827358,0.200000,0.200000
24,1,5.335302,5.265203,0.151120,-1.221095,0.200000,0.200000
25,1,8.385817,-2.171875,-0.175256,-1.014053,0.200000,0.200000
26,1,6.819566,6.434904,-0.000352,-0.768647,0.200000,0.200000
27,1,5.155230,1.158386,-0.305973,-0.500516,0.200000,0.200000
28,1,4.794142,2.968269,-0.074096,-0.316899,0.200000,0.200000
29,1,4.806617,0.579575,-0.048076,-0.846908,0.200000,0.200000
30,1,7.600195,3.229346,0.046383,-1.228620,0.200000,0.200000
31,1,7.265351,-4.469017,-0.087363,-1.073381,0.200000,0.200000
32,1,5.678647,2.103159,0.281762,-0.932593,0.200000,0.200000
33,1,7.971207,5.201850,-0.069929,-1.157255,0.200000,0.200000
34,1,4.921070,6.561026,0.012015,-0.534023,0.200000,0.200000
35,1,9.161483,3.573344,-0.119888,-1.139415,0.200000,0.200000
36,1,6.203774,4.066486,0.064456,-1.118128,0.200000,0.200000
37,1,8.517204,3.629024,-0.228888,-1.195262,0.200000,0.200000
38,1,9.121197,4.620665,-0.103947,-0.134957,0.200000,0.200000
